Title,Date,Description,Link,Location,Source
Russian President Vladimir Putin may visit India next year,2024-11-19 16:41:39,"The two sides are looking at the possibility of the visit but nothing has been finalised, they said.",https://www.thehindu.com/news/national/russian-president-vladimir-putin-may-visit-india-next-year/article68885629.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
New body for Telangana Secretariat Officers Association,2024-11-19 16:27:58,,https://www.thehindu.com/news/national/telangana/new-body-for-telangana-secretariat-officers-association/article68885102.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Kaloji Kalakshetram inaugurated by Telangana CM Revanth,2024-11-19 16:19:45,,https://www.thehindu.com/news/national/telangana/kaloji-kalakshetram-inaugurated-by-telangana-cm-revanth/article68885444.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Villagers urge Endowments Minister to take up reconstruction of ancient temple,2024-11-19 16:17:59,Minister assured the villagers that steps would be taken for the reconstruction of the ancient temple,https://www.thehindu.com/news/national/andhra-pradesh/villagers-urge-endowments-minister-to-take-up-reconstruction-of-ancient-temple/article68885498.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
1993 Deoband blast case: Key accused arrested from J&K's Budgam,2024-11-19 16:12:50,"Key accused in 1993 Deoband blast case, Nazir Ahmad Wani, arrested by U.P. Police in Budgam, J&K",https://www.thehindu.com/news/national/jammu-and-kashmir/1993-deoband-blast-case-key-accused-arrested-from-jks-budgam/article68885441.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Karnataka Health Department’s free second-opinion helpline for patients on complex joint surgeries,2024-11-19 16:12:11,The department has set up a dedicated second-opinion helpline - 18004258330 - that will be functional round the clock,https://www.thehindu.com/sci-tech/health/karnataka-health-departments-free-second-opinion-helpline-for-patients-on-complex-joint-surgeries/article68885505.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
"LIC reduced to a propaganda tool for Hindi imposition, charges Stalin",2024-11-19 16:08:16,Tamil Nadu CM demands rollback of “linguistic tyranny”,https://www.thehindu.com/news/national/tamil-nadu/lic-reduced-to-a-propaganda-tool-for-hindi-imposition-charges-stalin/article68885207.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
T.M. Krishna can receive Music Academy’s Sangita Kalanidhi & cash prize too but not in M.S. Subbulakshmi’s name: Madras High Court,2024-11-19 15:51:41,"Justice G. Jayachandran says, naming of the mirror award, carrying the cash prize, after the renowned Carnatic musician would be against her wish and desire",https://www.thehindu.com/news/national/tamil-nadu/tm-krishna-can-receive-music-academys-sangita-kalanidhi-cash-prize-too-but-not-in-ms-subbulakshmis-name-madras-high-court/article68884900.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
"Vedic-era Bharadwaj, not Wright Brothers, conceptualised first aircraft: U.P. governor",2024-11-19 15:31:42,"Uttar Pradesh Governor claims Vedic sage conceptualised aircraft, urges students to study ancient Indian texts for wisdom",https://www.thehindu.com/news/national/uttar-pradesh/vedic-era-bharadwaj-not-wright-brothers-conceptualised-first-aircraft-up-governor/article68885321.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Maharashtra Assembly Elections: BVA accuses BJP’s Vinod Tawde of cash distribution to party workers,2024-11-19 15:20:49,"The allegations surfaced after BVA workers released a video claiming that Mr. Tawde was distributing money from a bag at a star hotel in Manvel Pada, Virar. BVA leader Hitendra Thakur alleged that Mr. Tawde was carrying ₹5 crore to ‘distribute it to the voters.’",https://www.thehindu.com/news/cities/mumbai/maharashtra-assembly-elections-bva-accuses-bjps-vinod-tawde-of-cash-distribution/article68885225.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
HC orders attachment of Delhi's Himachal Bhawan after H.P. govt fails to clear dues of power firm,2024-11-19 15:11:48,The case pertains to the 340 MW Seli Hydropower Electric Project on the Chenab river in Lahaul and Spiti district,https://www.thehindu.com/news/national/himachal-pradesh/hc-orders-attachment-of-delhis-himachal-bhawan-after-hp-govt-fails-to-clear-dues-of-power-firm/article68885313.ece,delhi,https://www.thehindu.com/news/national/feeder/default.rss
KIIFB board meeting clears 32 more projects worth ₹743.37 crore in Kerala,2024-11-19 15:07:45,"With this, the total number of projects approved by KIIFB to date now stands at 1,147, worth a total ₹87,378.33 crore",https://www.thehindu.com/news/national/kerala/kiifb-board-meeting-clears-32-more-projects-worth-74337-crore-in-kerala/article68885284.ece,kerala,https://www.thehindu.com/news/national/feeder/default.rss
Medical negligence plaint against Kozhikode MCH after Perambra woman’s death,2024-11-19 15:02:56,"The relatives claimed that the staff took around four days to diagnose it as Gullain-Barre Syndrome. Instead, she was initially given medicines for psychiatric problems and orthopaedic issues",https://www.thehindu.com/news/national/kerala/medical-negligence-plaint-against-kozhikode-mch-after-perambra-womans-death/article68885213.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Palakkad bypoll in Kerala: Political duelling and controversies animate silent campaigning on the eve of byelection,2024-11-19 14:51:05,Voters in Palakkad woke up to newspaper advertisements spotlighting allegedly ‘anti-Muslim’ political statements and social media posts by former BJP spokesperson-turned-Congress leader Sandeep Varier,https://www.thehindu.com/news/national/kerala/palakkad-bypoll-in-kerala-political-duelling-and-controversies-animate-silent-campaigning-on-the-eve-of-byelection/article68885214.ece,"palakkad, kerala",https://www.thehindu.com/news/national/feeder/default.rss
Madhya Pradesh govt to make 'The Sabarmati Report' film tax free,2024-11-19 14:48:30,Chief Minister Mohan Yadav made this announcement and said he will also go to watch the movie,https://www.thehindu.com/news/national/madhya-pradesh/madhya-pradesh-govt-to-make-the-sabarmati-report-film-tax-free/article68885228.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Manipur in crisis: Examining the recent surge in ethnic violence,2024-11-19 14:46:13,,https://www.thehindu.com/videos/manipur-in-crisis-examining-the-recent-surge-in-ethnic-violence/article68885240.ece,manipur,https://www.thehindu.com/news/national/feeder/default.rss
No Maoist activist had contacted us to join mainstream: Committee on rehabilitation of left-wing extremists in Karnataka,2024-11-19 14:44:16,The committee has demanded a judicial probe into the alleged encounter of Maoist activist Vikram Gowda in Udupi district,https://www.thehindu.com/news/national/karnataka/no-maoist-activist-had-contacted-us-to-join-mainstream-committee-on-rehabilitation-of-left-wing-extremists-in-karnataka/article68885050.ece,karnataka,https://www.thehindu.com/news/national/feeder/default.rss
President to take part in convocation at Tiruvarur Central University,2024-11-19 14:31:39,President Droupadi Murmu is scheduled to confer gold medals on 33 top-ranking students and present degree certificates to 22 doctoral graduand,https://www.thehindu.com/news/national/tamil-nadu/president-to-take-part-in-convocation-at-tiruvarur-central-university/article68885166.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
"Army, Navy, Air Force conduct joint exercise in Arunachal Pradesh",2024-11-19 14:26:05,"The four-day exercise, 'Poorvi Prahar', validated the effectiveness of joint structures in intelligence gathering, surveillance, reconnaissance, rapid mobilisation, deployment and operational logistics, he said.",https://www.thehindu.com/news/national/army-navy-air-force-conduct-joint-exercise-in-arunachal-pradesh/article68885187.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
